EMAIL,FIRSTNAME,LASTNAME,COMPANY,SMS,SIC_ID,ATECO,PROVINCIA,TEMA,CONSENSO,FLUSSO,STATUS
labomobile.lm@gmail.com,Mirco,Null,Labo Tecnic Studio,,SIC-ID-OWNER-000000000001,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
mm2emme@yahoo.it,Null,Null,2 Emme Impresa Edile,,SIC-ID-201584EE7B17,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@2sgroup.net,Null,Null,2s Group Srls,+390664001765,SIC-ID-F3B50D63AD44,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@politect.it,Null,Null,3c Costruzioni 2012 S.r.l.,+390661520357,SIC-ID-D519D413C1B3,43,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
costruzioni.3l@libero.it,Null,Null,3l Costruzioni,+39041640108,SIC-ID-E80F0E14C974,43,VE,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.catalano@cestarorossi.com,Null,Null,A Catalano,+393283564959,SIC-ID-0E5C65321FCD,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.dissette@archiworld.it,Null,Null,A Dissette,,SIC-ID-D023B975DF55,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.ferrari315@gmail.com,Null,Null,A Ferrari315,,SIC-ID-7F52CDCBB1BB,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.ferro@costruzioniedilferro.com,Null,Null,A Ferro,,SIC-ID-004C690B1CC7,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.fortin@csworks.it,Null,Null,A Fortin,,SIC-ID-32A3AA621D78,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.frigato@inwind.it,Null,Null,A Frigato,,SIC-ID-F925E177F8F8,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.marangon@costruzioniedilferro.com,Null,Null,A Marangon,,SIC-ID-0CD78CD15A18,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.mischiari@gmail.com,Null,Null,A Mischiari,,SIC-ID-65DCB12EE140,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.sgualdo@inwind.it,Null,Null,A Sgualdo,,SIC-ID-C5BE29BA6FFD,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
caraviello@eness.ch,Null,Null,A. Energieeffizienzlösungen,,SIC-ID-100E897BC9AF,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@acpponteggi.it,Null,Null,A.c.p. Ponteggi,+390457930749,SIC-ID-6F2220E25302,NULL,VR,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
commerciale@afmascensori.it,Null,Null,A.f.m. Ascensori Srl,+390666019120,SIC-ID-C41D7660954E,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
abm.moakkher@gmail.com,Null,Null,Abm Hossain,+393283352697,SIC-ID-F16BD9DC6046,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
luigi.delpolito@acca.it,Null,Null,Acca Del Polito,,SIC-ID-835CB43E88C0,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
af.interni@hotmail.it,Null,Null,Af Shop,,SIC-ID-555DEE814E09,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alloisig@gmail.com,Null,Null,Ag Dimensione Edilizia Srls,+393664386271,SIC-ID-40AF878D56F3,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@agriscavi.it,Null,Null,Agriscavi Di Bellan Luca,,SIC-ID-CC3F7FEB6077,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alex.chiarion@gmail.com,Null,Null,Alex Chiarion,+393351308732,SIC-ID-FFC2C37120E9,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
service@amimpianti.tech,Null,Null,Am Impianti,,SIC-ID-9C5BB3434FC3,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@amliving.it,Null,Null,Am Living,+393407879325,SIC-ID-769FAFF4A0D6,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
fflagello@ana.net,Null,Null,Anas S.p.a. - Direzione Generale,390644461,SIC-ID-AB657DABC3D2,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
