sic_id,level,entity_name,region,province,comune,address,cap,phone,email,website,parent_name,meeting_day,meeting_time,servitore_insegnante,source_url,source_type,source_date,verification_status,notes,parent_sic_id,node_type,active_status,country,latitude,longitude,geo_status,network_ready,cortex_ingest,last_checked
SIC-ID-C9F7A0285A20,NATIONAL,AICAT - Associazione Italiana dei Club Alcologici Territoriali,Italia,,Udine / Padova,"Sede legale: Via Chisimaio 40, Udine; sede operativa: Via Cave 178, Padova",,366 3625248,segreteria@aicat.net,https://aicat.net/,,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,ODV; struttura nazionale di riferimento,,NATIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-C0E4AF4C77B1,REGIONAL,ARCAT Abruzzo,Abruzzo,L'Aquila,Avezzano,Via Pio XII 30,67051,320 8805222,katiusciatuzi@yahoo.it,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-C35ED3EA9B06,REGIONAL,Alto Adige,Trentino-Alto Adige,Bolzano,,,,,,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,OFFICIAL_LIST_CONTACT_MISSING,,SIC-ID-C9F7A0285A20,REGIONAL,PUBLISHED_UNVERIFIED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-1FF6717E255F,REGIONAL,ARCAT Basilicata,Basilicata,Matera,Matera,Via Rosario Livatino 47a,75100,329 8859203,miriello.umberto70@gmail.com,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-7E1965DF034E,REGIONAL,ARCAT Calabria ODV,Calabria,Cosenza,Cosenza,Via Macchiabella 58,87100,0984 1865040,arcatcalabriaodv@gmail.com,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-75CA7C23015D,REGIONAL,ARCAT Campania,Campania,Salerno,Salerno,Via M. Pironti 14,,375 5056720,arcatcampania@gmail.com,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-AF7E66007939,REGIONAL,ARCAT Emilia Romagna ODV,Emilia-Romagna,Forlì-Cesena,Mercato Saraceno,Via Matilde Serao 11,47025,346 2176182,arcatemiliaromagna92@gmail.com,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-A49184A55957,REGIONAL,ARCAT Friuli,Friuli-Venezia Giulia,,,,,,,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,OFFICIAL_LIST_CONTACT_MISSING,,SIC-ID-C9F7A0285A20,REGIONAL,PUBLISHED_UNVERIFIED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-37D3A46BD92C,REGIONAL,ARCAT Regione Lazio,Lazio,Latina,Aprilia,Via Carano 21,,392 2766030,arcatregionelazio@gmail.com,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,VERIFIED_OFFICIAL_CURRENT,,SIC-ID-C9F7A0285A20,REGIONAL,ACTIVE_PUBLISHED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
SIC-ID-FB23FD9B34EC,REGIONAL,ARCAT Liguria,Liguria,,,,,,,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,,,,https://aicat.net/index.php?page=contatti,AICAT ufficiale,2026-08-18,OFFICIAL_LIST_CONTACT_MISSING,,SIC-ID-C9F7A0285A20,REGIONAL,PUBLISHED_UNVERIFIED,IT,,,TO_GEOCODE,YES,YES,2026-08-18
