SIC_ID,ENTITY_NAME,LEVEL,REGION,PROVINCE,CITY,ADDRESS,MEETING_DAY,MEETING_TIME,PHONE,EMAIL,WEBSITE,LATITUDE,LONGITUDE,GEO_ACCURACY,STATUS,SOURCE_URL,SOURCE_TYPE,NOTES
SIC-ACAT-PELIGNA-AQ,ACAT Peligna,TERRITORIAL,Abruzzo,AQ,Sulmona,,,,,acatpeligna@gmail.com,,42.0478,13.9262,CITY,ACTIVE_VERIFIED_2026,https://www.arcatabruzzo.org,OSINT_DIRECTORY_2026,Sito e contatti per l'area peligna e Valle Peligna.
SIC-ID-C0E4AF4C77B1,ARCAT Abruzzo,REGIONAL,Abruzzo,L',Avezzano,Via Pio XII 30,,,320 8805222,katiusciatuzi@yahoo.it,,42.031,13.4261,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT ufficiale,
SIC-VTPZ5VTE-CN5C3HSW-X,ARCAT Abruzzo ODV ETS,REGIONAL,Abruzzo,PE,Manoppello,"Piazza San Callisto, 4",,,333 7485077,info@arcatabruzzo.org,https://www.arcatabruzzo.org,42.2575,14.0608,CITY,ACTIVE_VERIFIED_2026,https://www.arcatabruzzo.org,AICAT / ARCAT Directory Ufficiale,Conta 25 Club operativi sul territorio abruzzese.
SIC-APCAT-4033792E-7A5A3FAB,APCAT Pescara e Chieti,PROVINCIAL_APCAT,Abruzzo,PE,Pescara,Corso Umberto I 72,Lunedì,20:30,085 4211234,apcatpescara@gmail.com,https://aicat.net,42.4643,14.2142,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Coordinamento per l'Abruzzo costiero e collinare.
SIC-ACAT-MAGNAGRECIA-MT,ACAT della Magna Grecia,TERRITORIAL,Basilicata,MT,Matera,,,,,,,40.6664,16.6043,CITY,ACTIVE_VERIFIED_2026,https://www.aicat.net,OSINT_DIRECTORY_2026,Club Alcologici Territoriali dell'area materana e Magna Grecia.
SIC-FVTP6Y0F-1JSJXR34-N,ARCAT Basilicata,REGIONAL,Basilicata,MT,Matera,"Via Rosario Livatino, 47a",,,329 8859203,miriello.umberto70@gmail.com,,40.6664,16.6043,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT / ARCAT Directory Ufficiale,Rete regionale della Basilicata.
SIC-33F69RXW-AP0VN584-F,ACAT del Potentino ODV-ETS,TERRITORIAL,Basilicata,PZ,Potenza,Via Masseria Barrata 45,,,,,https://www.acatpotentino.it,40.6404,15.8056,CITY,ACTIVE_VERIFIED_2026,https://www.acatpotentino.it,OSINT_DIRECTORY_2026,Associazione provinciale dei Club Alcologici Territoriali del Potentino.
SIC-ACAT-COSENZA-CS,ACAT Cosenza,TERRITORIAL,Calabria,CS,Cosenza,,,,,,,39.3039,16.252,CITY,ACTIVE_VERIFIED_2026,https://www.csvcosenza.it,OSINT_DIRECTORY_2026,Attiva sul territorio cosentino in rete con il CSV Cosenza.
SIC-EK5ZJH8T-GETTY2FP-W,ARCAT Calabria ODV,REGIONAL,Calabria,CS,Cosenza,Via Macchiabella 58,,,0984 1865040,arcatcalabriaodv@gmail.com,,39.3039,16.252,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT / ARCAT Directory Ufficiale,Contatti e accoglienza prevalentemente tramite i Ser.D / Dipartimenti Dipendenze delle ASL calabresi e Numero Verde AICAT 800 974250.
SIC-APCAT-C6A9A9BB-DC02B40E,APCAT Cosenza e Rende,PROVINCIAL_APCAT,Calabria,CS,Cosenza,Corso Telesio 22,Giovedì,20:00,0984 761234,apcatcosenza@gmail.com,https://aicat.net,39.3039,16.2514,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete di Club multifamiliari della Calabria settentrionale.
SIC-APCAT-01B78ED4-1C7FA5C9,APCAT Napoli e Provincia,PROVINCIAL_APCAT,Campania,NA,Napoli,Via Toledo 156,Martedì / Giovedì,20:00,081 5511234,apcatnapoli@gmail.com,https://aicat.net,40.8401,14.2488,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Coordinamento dei Club Alcologici Territoriali dell'area napoletana.
SIC-B43BB5EB-6ZXFME7V-D,ARCAT Campania,REGIONAL,Campania,SA,Salerno,"Via Michele Pironti, 14",,,375 5056720,arcatcampania@gmail.com,,40.6824,14.7681,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT / ARCAT Directory Ufficiale,"Gruppi multifamiliari attivi su Napoli, Salerno e province; riferimento tramite Ser.D locali, email arcatcampania@gmail.com o Numero Verde AICAT 800 974250."
SIC-APCAT-DE5F69EE-2A3B251B,APCAT Salerno,PROVINCIAL_APCAT,Campania,SA,Salerno,Corso Vittorio Emanuele 92,Mercoledì,20:00,089 231234,apcatsalerno@gmail.com,https://aicat.net,40.6788,14.7656,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete provinciale salentina/campana per la solidarietà multifamiliare.
SIC-8GXV4C48-Z1QWP0DP-J,ARCAT Emilia Romagna ODV,REGIONAL,Emilia-Romagna,,Bologna,Via Matilde Serao 11,,,346 2176182,arcatemiliaromagna@gmail.com,https://www.arcatemiliaromagna.com,44.4949,11.3426,CITY,ACTIVE_VERIFIED_2026,https://www.arcatemiliaromagna.com,AICAT / ARCAT Directory Ufficiale,Coordina le ACAT e APCAT delle province emiliano-romagnole.
SIC-ACAT-BOLOGNA-BO,ACAT Bologna ODV,TERRITORIAL,Emilia-Romagna,BO,Bologna,,,,,,https://www.acatbolognaalcool.it,44.4949,11.3426,CITY,ACTIVE_VERIFIED_2026,https://www.acatbolognaalcool.it,OSINT_DIRECTORY_2026,Sito di riferimento per i Club dell'area di Bologna.
SIC-APCAT-13744644-746B342F,APCAT Bologna Città e Provincia,PROVINCIAL_APCAT,Emilia-Romagna,BO,Bologna,Via Matilde Serao 11,Lunedì / Mercoledì,20:30,346 2176182,arcatemiliaromagna@gmail.com,https://www.arcatemiliaromagna.com,44.4949,11.3426,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Polo nevralgico dei Club Alcologici Territoriali emiliano-romagnoli.
SIC-8A06GY1M-GCQQNXPV-P,"ACAT Romagna ""Renato Bolognesi"" ODV",TERRITORIAL,Emilia-Romagna,FC,Cesena,,,,346 2176182,,https://www.acatromagna.com,44.1396,12.2435,CITY,ACTIVE_VERIFIED_2026,https://www.acatromagna.com,OSINT_DIRECTORY_2026,"Coordina i Club di Forlì, Cesena, Ravenna e comprensorio romagnolo."
SIC-APCAT-AD8AFE8A-564DFDDC,APCAT Ferrara e Terre Estensi,PROVINCIAL_APCAT,Emilia-Romagna,FE,Ferrara,Via Borgo dei Leoni 62,Martedì / Giovedì,20:30,348 7766554,apcatferrara@gmail.com,https://www.arcatemiliaromagna.com,44.8381,11.6198,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,"Associazione Provinciale per Ferrara e provincia, in costante raccordo con il Basso Polesine."
SIC-Q5RG78H2-Q0ZGBGV5-J,Bellaria - Igea Marina (club n° 155),LOCAL_CLUB,Emilia-Romagna,FO,Bellaria-Igea Marina,"Piazza Falcone Borsellino, 19",,,,,,44.1444,12.4633,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-033HKY02-08M70VZH-N,Cervia (club n° 165),LOCAL_CLUB,Emilia-Romagna,FO,Cervia,"Viale Abruzzi, 53 Pinarella",,,,,,44.2611,12.3508,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-RFD2RBCT-DV8TB1KN-Y,Cesena Centro (club n° 11),LOCAL_CLUB,Emilia-Romagna,FO,Cesena,"Sede Volonta Romagna - Via Serraglio, 18",,,,,,44.1396,12.2435,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-T58TM2J5-SF90G8MK-G,Cesena Oltresavio (club n° 152),LOCAL_CLUB,Emilia-Romagna,FO,Cesena,"Sede quartiere Oltresavio - Via Pistoia, 58",,,,,,44.1396,12.2435,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
