id,sic_id,club_id,entity_name,level,category,region,province,city,address,cap,primary_email,email_type,primary_phone,phone_secondary,website,servitore_insegnante,coordination_entity,families_count,meeting_day,meeting_time,outreach_status,outreach_step,last_contact_at,unsubscribe_token,unsubscribed_at,notes,created_at,updated_at
1,SIC-ID-C0E4AF4C77B1,1,ARCAT Abruzzo,REGIONAL,ARCAT,Abruzzo,L',Avezzano,Via Pio XII 30,,katiusciatuzi@yahoo.it,DIRECT,320 8805222,,,,ARCAT Abruzzo,650,,,UNCONTACTED,0,,cd0586a7a3bb56b92c800db969c97a1a,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
2,SIC-VTPZ5VTE-CN5C3HSW-X,2,ARCAT Abruzzo ODV ETS,REGIONAL,ARCAT,Abruzzo,PE,Manoppello,"Piazza San Callisto, 4",,info@arcatabruzzo.org,DIRECT,333 7485077,,https://www.arcatabruzzo.org,,ARCAT Abruzzo ODV ETS,650,,,UNCONTACTED,0,,8e5c8dcf7a5ba40cfd800a98ee055adf,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
3,SIC-ACAT-PELIGNA-AQ,3,ACAT Peligna,TERRITORIAL,ACAT,Abruzzo,AQ,Sulmona,,,acatpeligna@gmail.com,DIRECT,0862 345678,,,,ACAT Peligna,85,,,UNCONTACTED,0,,0f8e3e55f2bc86731bd9457027e721fd,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
4,SIC-ACAT-MAGNAGRECIA-MT,4,ACAT della Magna Grecia,TERRITORIAL,ACAT,Basilicata,MT,Matera,,,miriello.umberto70@gmail.com,COORDINATION_INHERITED,329 8859203,,,,ARCAT Basilicata,85,,,UNCONTACTED,0,,d05812bc46f4f74fc1b8d43edfe269b7,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
5,SIC-FVTP6Y0F-1JSJXR34-N,5,ARCAT Basilicata,REGIONAL,ARCAT,Basilicata,MT,Matera,"Via Rosario Livatino, 47a",,miriello.umberto70@gmail.com,DIRECT,329 8859203,,,,ARCAT Basilicata,650,,,UNCONTACTED,0,,1b98b74c1dedfc2c39193dd08d05b86d,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
6,SIC-33F69RXW-AP0VN584-F,6,ACAT del Potentino ODV-ETS,TERRITORIAL,ACAT,Basilicata,PZ,Potenza,Via Masseria Barrata 45,,segreteria@aicat.net,COORDINATION_INHERITED,800 974250,,https://www.acatpotentino.it,,AICAT Nazionale,85,,,UNCONTACTED,0,,8a629060fe1622a7856386f30dd387e0,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
7,SIC-ACAT-COSENZA-CS,7,ACAT Cosenza,TERRITORIAL,ACAT,Calabria,CS,Cosenza,,,apcatcosenza@gmail.com,COORDINATION_INHERITED,0984 761234,,,,APCAT Cosenza e Rende,85,,,UNCONTACTED,0,,e09b540a03fe8b38acb0fc37b97e5659,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
8,SIC-EK5ZJH8T-GETTY2FP-W,8,ARCAT Calabria ODV,REGIONAL,ARCAT,Calabria,CS,Cosenza,Via Macchiabella 58,,arcatcalabriaodv@gmail.com,DIRECT,0984 1865040,,,,ARCAT Calabria ODV,650,,,UNCONTACTED,0,,3147898b5966673230843630190bfba1,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
9,SIC-B43BB5EB-6ZXFME7V-D,9,ARCAT Campania,REGIONAL,ARCAT,Campania,SA,Salerno,"Via Michele Pironti, 14",,arcatcampania@gmail.com,DIRECT,375 5056720,,,,ARCAT Campania,650,,,UNCONTACTED,0,,d3891398019f4a6e9f67e1ea13955925,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
10,SIC-Q5RG78H2-Q0ZGBGV5-J,10,Bellaria - Igea Marina (club n° 155),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Bellaria-Igea Marina,"Piazza Falcone Borsellino, 19",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,10,,,UNCONTACTED,0,,f9e6fbea16a44e4be3eb918d039a5645,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
