id,sic_id,entity_name,original_type,network_level,network_rank,rank_color,continent,country,region,province,city,address,latitude,longitude,geo_accuracy,status,parent_sic_id,source_url,source_type,language,meeting,public_contact,notes,direct_children,network_descendants,public_data_score,is_synthetic,created_at,updated_at,website,phone,email,geo_confidence,geocoded_from,geocoded_at,original_name,translated_name,original_hierarchy,postal_code,facebook,instagram,youtube,linkedin,x_twitter,founding_year,closure_year,reopening_year,hudolin_confirmed,confidence_score,last_verified,geo_provider,geo_provider_ref,territorial_association,regional_federation,national_federation,families_count
1,SIC-WS2VDS86-YRB6M7TV-B,DEPENDEX WORLD,WORLD,WORLD,70,#EF4444,,,,,,,15.0,0.0,WORLD,ACTIVE,,,,,,,,6,545,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
2,SIC-1VP5PKA2-VEJXHQ8M-8,Africa,CONTINENT,CONTINENT,60,#F97316,Africa,,,,,,5.0,20.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,2,4,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
3,SIC-EER60AR9-PERPDWT1-V,Asia,CONTINENT,CONTINENT,60,#F97316,Asia,,,,,,35.0,85.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,3,11,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
4,SIC-6Y6S4M7A-K0MRKAPA-K,Europe,CONTINENT,CONTINENT,60,#F97316,Europe,,,,,,50.0,15.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,24,500,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
5,SIC-P5ZMQMS2-W4K87C8B-Q,North America,CONTINENT,CONTINENT,60,#F97316,North America,,,,,,35.0,-95.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,3,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
6,SIC-54F9H5YV-C11KP5F4-N,Oceania,CONTINENT,CONTINENT,60,#F97316,Oceania,,,,,,-25.0,145.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,2,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
7,SIC-S7H9RTYM-9K7A84S9-W,South America,CONTINENT,CONTINENT,60,#F97316,South America,,,,,,-15.0,-60.0,CONTINENT,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,5,19,4,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
8,SIC-86WEYN77-9C4ED9KZ-4,Albania,COUNTRY,NATIONAL,50,#F59E0B,Europe,Albania,,,,,41.22272727272727,20.13181818181818,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
9,SIC-E6Z3YYDC-4KA1CGQ5-W,Belarus,COUNTRY,NATIONAL,50,#F59E0B,Europe,Belarus,,,,,53.37954545454545,28.222727272727273,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
10,SIC-FM2KE49A-QXNTD0JG-G,Bolivia,COUNTRY,NATIONAL,50,#F59E0B,South America,Bolivia,,,,,-16.346666666666668,-64.13166666666666,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
11,SIC-A53THB43-9DMD9PY1-W,Bosnia and Herzegovina,COUNTRY,NATIONAL,50,#F59E0B,Europe,Bosnia and Herzegovina,,,,,44.14545454545455,17.87727272727273,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,4,8,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
12,SIC-HS528K21-MDV86QKH-W,Brazil,COUNTRY,NATIONAL,50,#F59E0B,South America,Brazil,,,,,-9.661083743842365,-56.92709359605911,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,3,3,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
13,SIC-97VMBR39-C440N9WS-6,Bulgaria,COUNTRY,NATIONAL,50,#F59E0B,Europe,Bulgaria,,,,,42.88214285714286,24.689285714285717,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
14,SIC-6D05R5PP-JXRPTK1S-A,Cameroon,COUNTRY,NATIONAL,50,#F59E0B,Africa,Cameroon,,,,,6.909836065573771,13.172131147540984,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-1VP5PKA2-VEJXHQ8M-8,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
15,SIC-E6HZ089D-QJWFGGB0-H,Chile,COUNTRY,NATIONAL,50,#F59E0B,South America,Chile,,,,,-40.82743362831859,-71.1929203539823,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
16,SIC-22FWS3ZJ-XQPBHFBE-1,Croatia,COUNTRY,NATIONAL,50,#F59E0B,Europe,Croatia,,,,,44.89523809523809,16.388095238095236,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,2,133,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
17,SIC-SG6XEF3M-J7KZ4WMR-S,Denmark,COUNTRY,NATIONAL,50,#F59E0B,Europe,Denmark,,,,,56.27777777777778,9.622222222222222,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,5,5,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
18,SIC-M8R38W6B-1PD05NTJ-Q,Ecuador,COUNTRY,NATIONAL,50,#F59E0B,South America,Ecuador,,,,,-1.6393939393939394,-78.70606060606062,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,5,5,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
19,SIC-MG70K4CK-VB1QKHYN-P,Finland,COUNTRY,NATIONAL,50,#F59E0B,Europe,Finland,,,,,65.47631578947369,25.76578947368421,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
20,SIC-JW06EY0P-65SM8TNR-W,France,COUNTRY,NATIONAL,50,#F59E0B,Europe,France,,,,,34.67611940298508,-12.77462686567164,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
