sic_id,entity_name,original_type,network_level,network_rank,rank_color,continent,country,region,province,city,address,status,parent_sic_id,source_url,source_type,language,meeting,public_contact,notes,is_synthetic,longitude,latitude,geo_accuracy,direct_children,network_descendants,public_data_score
SIC-WS2VDS86-YRB6M7TV-B,DEPENDEX WORLD,WORLD,WORLD,70,#EF4444,,,,,,,ACTIVE,,,,,,,,1,0,15,WORLD,6,482,0
SIC-1VP5PKA2-VEJXHQ8M-8,Africa,CONTINENT,CONTINENT,60,#F97316,Africa,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,20,5,CONTINENT,2,4,0
SIC-EER60AR9-PERPDWT1-V,Asia,CONTINENT,CONTINENT,60,#F97316,Asia,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,85,35,CONTINENT,3,11,0
SIC-6Y6S4M7A-K0MRKAPA-K,Europe,CONTINENT,CONTINENT,60,#F97316,Europe,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,15,50,CONTINENT,24,437,0
SIC-P5ZMQMS2-W4K87C8B-Q,North America,CONTINENT,CONTINENT,60,#F97316,North America,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,-95,35,CONTINENT,1,3,0
SIC-54F9H5YV-C11KP5F4-N,Oceania,CONTINENT,CONTINENT,60,#F97316,Oceania,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,145,-25,CONTINENT,1,2,0
SIC-S7H9RTYM-9K7A84S9-W,South America,CONTINENT,CONTINENT,60,#F97316,South America,,,,,,ACTIVE,SIC-WS2VDS86-YRB6M7TV-B,,,,,,,1,-60,-15,CONTINENT,5,19,0
SIC-86WEYN77-9C4ED9KZ-4,Albania,COUNTRY,NATIONAL,50,#F59E0B,Europe,Albania,,,,,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,20.13181818181818,41.22272727272727,COUNTRY_CENTROID,1,1,0
SIC-E6Z3YYDC-4KA1CGQ5-W,Belarus,COUNTRY,NATIONAL,50,#F59E0B,Europe,Belarus,,,,,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,28.222727272727273,53.37954545454545,COUNTRY_CENTROID,1,1,0
SIC-FM2KE49A-QXNTD0JG-G,Bolivia,COUNTRY,NATIONAL,50,#F59E0B,South America,Bolivia,,,,,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,1,-64.13166666666666,-16.346666666666668,COUNTRY_CENTROID,2,2,0
