sic_id,level,country,country_code,entity_name,region,city,address,status,parent_name,source_url,source_type,language,meeting,public_contact,last_checked,notes
SIC-ID-3FBD36AFADC4,COUNTRY_NETWORK,Italy,,AICAT / ANICAT,,,,ACTIVE_NETWORK,,https://aicat.net/,Official/public network source,Italian,,,2026-08-18,
SIC-ID-C9D653E59EE6,COUNTRY_NETWORK,Croatia,,Hrvatski savez klubova liječenih alkoholičara (HSKLA),,,,ACTIVE_NETWORK,,https://hskla.hr/o-nama/,Official/public network source,Croatian,,,2026-08-18,
SIC-ID-970DA1B6803D,COUNTRY_NETWORK,Serbia,,Zajednica klubova lečenih alkoholičara Srbije,,,,ACTIVE_NETWORK,,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-zajednice/,Official/public network source,Serbian,,,2026-08-18,
SIC-ID-32F4497BC8E5,COUNTRY_NETWORK,Slovenia,,Zveza klubov zdravljenih alkoholikov Slovenije,,,,ACTIVE_NETWORK,,https://zvezakza.si/kontakt/,Official/public network source,Slovenian,,,2026-08-18,
SIC-ID-278088330A39,COUNTRY_NETWORK,Bosnia and Herzegovina,,Hudolin/KLA networks,,,,PUBLIC_NETWORK_REFERENCES,,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,Official/public network source,Bosnian/Croatian/Serbian,,,2026-08-18,
SIC-ID-29358E133010,COUNTRY_NETWORK,Montenegro,,Regional directory reports no active club data,,,,NO_ACTIVE_DATA_IN_REGIONAL_DIRECTORY,,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,Official/public network source,Montenegrin,,,2026-08-18,
SIC-ID-D5DF3A4565E9,COUNTRY_PRESENCE,Albania,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-57ADD22C3B53,COUNTRY_PRESENCE,Brazil,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-081583A29CAB,COUNTRY_PRESENCE,Bulgaria,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-FC69DDA682E0,COUNTRY_PRESENCE,Ecuador,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-A5A060A6CDE7,COUNTRY_PRESENCE,Greece,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-DF888D15A37C,COUNTRY_PRESENCE,North Macedonia,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-A0FBD5EE9D95,COUNTRY_PRESENCE,New Zealand,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-BEACE4D17B2D,COUNTRY_PRESENCE,Poland,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-C9C654F7BD0C,COUNTRY_PRESENCE,Romania,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-76D11F66B19E,COUNTRY_PRESENCE,Russia,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-8063D963F453,COUNTRY_PRESENCE,Slovakia,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-2C33EC274CA6,COUNTRY_PRESENCE,Spain,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-39D9134FEFD8,COUNTRY_PRESENCE,Switzerland,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-4F43DBA131C2,COUNTRY_PRESENCE,Denmark,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-A12FE60CA43A,COUNTRY_PRESENCE,Norway,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
SIC-ID-FB98A5484E86,COUNTRY_PRESENCE,Sweden,,Hudolin Club / socio-ecological approach presence,,,,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,2026-08-18,Presence documented historically; current club-level network not yet verified.
